,taxon_name_w_authors,201807_accepted_name_w_author,202112_taxon_name_w_authors,202112_chained_accepted_name_w_author,202112_chained_accepted_species,202112_direct_accepted_name_w_author,202112_direct_accepted_species
507,Heteropappus biennis (Ledeb.) Tamamsch. ex Grubov,Kalimeris tatarica Lindl. ex DC.,Kalimeris tatarica Lindl. ex DC.,Aster biennis Ledeb.,Aster biennis,Symphyotrichum falcatum var. commutatum (Torr. & A.Gray) G.L.Nesom,Symphyotrichum falcatum
539,Artemisia purshiana Besser,Artemisia ludoviciana Nutt.,Artemisia ludoviciana Nutt.,Artemisia ludoviciana Nutt.,Artemisia ludoviciana,Artemisia campestris subsp. borealis H.M.Hall & Clem.,Artemisia campestris
554,Bellis prostrata Pomel,Bellis annua L.,Bellis annua L.,Bellis annua L.,Bellis annua,Bellis prostrata Pomel,Bellis prostrata
567,Eurybia paniculata Steetz,Olearia heleophila F.Muell.,Olearia heleophila F.Muell.,Olearia heleophila F.Muell.,Olearia heleophila,Olearia elaeophila (DC.) F.Müll. ex Benth.,Olearia elaeophila
588,Anthemis macroglossa Sommier & Levier,Cota melanoloma (Trautv.) Holub,Cota melanoloma (Trautv.) Holub,Cota melanoloma (Trautv.) Holub,Cota melanoloma,Cota macroglossa (Sommier & Levier) Lo Presti & Oberpr.,Cota macroglossa
641,Asteriscus aureus Lange,Pallenis maritima (L.) Greuter,Pallenis maritima (L.) Greuter,Pallenis maritima (L.) Greuter,Pallenis maritima,Pallenis spinosa subsp. aurea (Willk.) Nyman,Pallenis spinosa
653,Aster petiolatus (Hook.f.) F.Muell.,Celmisia verbascifolia Hook.f.,Celmisia verbascifolia Hook.f.,Celmisia verbascifolia Hook.f.,Celmisia verbascifolia,Celmisia petiolata Hook.f.,Celmisia petiolata
659,Aracium pygmaeum Miq.,Ixeridium laevigatum (Blume) Pak & Kawano,Ixeridium laevigatum (Blume) Pak & Kawano,Ixeridium laevigatum (Blume) Pak & Kawano,Ixeridium laevigatum,Leontodon saxatilis subsp. saxatilis Lam.,Leontodon saxatilis
691,Centaurea nervosa Rchb. ex Steud.,Centaurea nigra L.,Centaurea nigra L.,Centaurea nigra L.,Centaurea nigra,Centaurea phrygia subsp. phrygia ,Centaurea phrygia
710,Gymnopsis verbesinoides DC.,Elaphandra moriana Pruski,Elaphandra moriana Pruski,Elaphandra moriana Pruski,Elaphandra moriana,Elaphandra verbesinoides (A.DC.) H.Rob.,Elaphandra verbesinoides
719,Vernonia parviflora Klatt,Distephanus garnieriana (Klatt) H.Rob. & B.Kahn,Distephanus garnieriana (Klatt) H.Rob. & B.Kahn,Distephanus garnieriana (Klatt) H.Rob. & B.Kahn,Distephanus garnieriana,Distephanus garnierianus (Klatt) H.Rob. & B.Kahn,Distephanus garnierianus
726,Blumea cernua DC.,Blumea lacera (Burm.f.) DC.,Blumea lacera (Burm.f.) DC.,Blumea lacera (Burm.f.) DC.,Blumea lacera,Blumea hieraciifolia DC.,Blumea hieraciifolia
754,Aster oldhamii Hemsl.,Aster hispidus Thunb.,Aster hispidus Thunb.,Aster hispidus Thunb.,Aster hispidus,Aster oldhamii Hemsl.,Aster oldhamii
763,Vernonia canescens (Kunth) Cass.,Vernonia arborescens (L.) Sw.,Vernonia arborescens (L.) Sw.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens,Lepidaploa canescens (Kunth) H.Rob.,Lepidaploa canescens
767,Machaeranthera scabrella (Greene) Shinners,Ericameria nauseosa var. ammophila L.C.Anderson,Ericameria nauseosa var. ammophila L.C.Anderson,Ericameria nauseosa var. ammophila L.C.Anderson,Ericameria nauseosa,Xanthisma scabrellum (Greene) G.L.Nesom & B.L.Turner,Xanthisma scabrellum
771,Cirsium hellenicum Halácsy,Cirsium hypopsilum Boiss. & Heldr.,Cirsium hypopsilum Boiss. & Heldr.,Cirsium hypopsilum Boiss. & Heldr.,Cirsium hypopsilum,Cirsium ciliatum subsp. ciliatum ,Cirsium ciliatum
776,Hieracium carpetanum Freyn,Hieracium torrepandoi Willk.,Hieracium torrepandoi Willk.,Hieracium torrepandoi Willk.,Hieracium torrepandoi,Hieracium carpetanum Freyn,Hieracium carpetanum
790,Leontodon gouanii Hegetschw.,Leontodon hispidus L.,Leontodon hispidus L.,Leontodon hispidus L.,Leontodon hispidus,Leontodon saxatilis subsp. saxatilis Lam.,Leontodon saxatilis
791,Ambrosia paniculata f. litoralis O.E.Schulz,Ambrosia polystachya DC.,Ambrosia polystachya DC.,Ambrosia polystachya DC.,Ambrosia polystachya,Ambrosia cumanensis Kunth,Ambrosia cumanensis
840,Kentrophyllum elatum Gasp.,Carthamus lanatus L.,Carthamus lanatus L.,Carthamus lanatus L.,Carthamus lanatus,Carthamus arborescens L.,Carthamus arborescens
873,Carduus modestus Osterh.,Cirsium modestum (Osterh.) Petr.,Cirsium modestum (Osterh.) Petr.,Cirsium modestum (Osterh.) Petr.,Cirsium modestum,Cirsium clavatum var. americanum (A.Gray) D.J.Keil,Cirsium clavatum
892,Werneria ciliata Wedd. ex Sch.Bip.,Werneria pectinata Lingelsh.,Werneria pectinata Lingelsh.,Werneria pectinata Lingelsh.,Werneria pectinata,Xenophyllum ciliolatum (A.Gray) V.A.Funk,Xenophyllum ciliolatum
950,Hieracium durisetum (Nägeli & Peter) Üksip,Pilosella setigera Fr.,Pilosella setigera Fr.,Pilosella rothiana F.W.Schultz & Sch.Bip.,Pilosella rothiana,Pilosella cymosiformis (Froel.) Gottschl.,Pilosella cymosiformis
987,Cirsium bipontinum F.W.Schultz,Cirsium acaule (L.) A.A.Weber ex Wigg.,Cirsium acaule (L.) A.A.Weber ex Wigg.,Cirsium acaule (L.) A.A.Weber ex Wigg.,Cirsium acaule,Cirsium bipontinum F.W.Schultz,Cirsium bipontinum
1008,Verbesina ciliata Schumach.,Aspilia helianthoides subsp. ciliata (Schumach.) C.D.Adams,Aspilia helianthoides subsp. ciliata (Schumach.) C.D.Adams,Aspilia helianthoides subsp. ciliata (Schumach.) C.D.Adams,Aspilia helianthoides,Aspilia ciliata (Schumach.) Wild,Aspilia ciliata
1024,Cotula chinensis Kitam.,Cotula anthemoides L.,Cotula anthemoides L.,Cotula anthemoides L.,Cotula anthemoides,Cotula hemisphaerica (Roxb.) Wall. ex Benth. & Hook.f.,Cotula hemisphaerica
1048,Conyza discolor Bory ex DC.,Senecio appendiculatus L.f.,Senecio appendiculatus L.f.,Senecio appendiculatus L.f.,Senecio appendiculatus,Pericallis appendiculata (L.f.) B.Nord.,Pericallis appendiculata
1054,Bidens daucifolia DC.,Bidens pilosa L.,Bidens pilosa L.,Bidens pilosa L.,Bidens pilosa,Bidens alba DC.,Bidens alba
1067,Stoebe rhinocerotis L.f.,Dicerothamnus rhinocerotis (L.f.) Koek.,Dicerothamnus rhinocerotis (L.f.) Koek.,Dicerothamnus rhinocerotis (L.f.) Koek.,Dicerothamnus rhinocerotis,Elytropappus rhinocerotis Less.,Elytropappus rhinocerotis
1087,Apargia tergestina Hoppe ex DC.,Leontodon saxatilis Lam.,Leontodon saxatilis Lam.,Leontodon saxatilis Lam.,Leontodon saxatilis,Leontodon crispus Vill.,Leontodon crispus
1113,Euthamia caroliniana (L.) Greene ex Porter & Britton,Euthamia graminifolia (L.) Nutt.,Euthamia graminifolia (L.) Nutt.,Euthamia graminifolia (L.) Nutt.,Euthamia graminifolia,Euthamia caroliniana (L.) Greene ex Porter & Britton,Euthamia caroliniana
1129,Vernonia aschersonioides Chiov.,Vernonia aschersonii Sch.Bip.,Vernonia aschersonii Sch.Bip.,Vernonia aschersonii Sch.Bip.,Vernonia aschersonii,Vernonia aschersonioides Chiov.,Vernonia aschersonioides
1132,Zaluzania pinnatilobata Sch.Bip.,Viguiera pinnatilobata (Sch.Bip.) S.F.Blake,Viguiera pinnatilobata (Sch.Bip.) S.F.Blake,Viguiera pinnatilobata (Sch.Bip.) S.F.Blake,Viguiera pinnatilobata,Sidneya pinnatilobata (Sch.Bip.) E.E.Schill. & Panero,Sidneya pinnatilobata
1186,Cota thirkei Sch.Bip.,Cota coelopoda (Boiss.) Boiss.,Cota coelopoda (Boiss.) Boiss.,Cota coelopoda (Boiss.) Boiss.,Cota coelopoda,Cota segetalis (Ten.) Holub,Cota segetalis
1211,Aster sanguineus Willd. ex Spreng.,Symphyotrichum ciliolatum (Lindl.) Á.Löve & D.Löve,Symphyotrichum ciliolatum (Lindl.) Á.Löve & D.Löve,Symphyotrichum ciliolatum (Lindl.) Á.Löve & D.Löve,Symphyotrichum ciliolatum,Symphyotrichum × salignum (Willd.) G.L.Nesom,Symphyotrichum salignum
1224,Anthemis arvensis Pall. ex M.Bieb.,Cota coelopoda (Boiss.) Boiss.,Cota coelopoda (Boiss.) Boiss.,Cota coelopoda (Boiss.) Boiss.,Cota coelopoda,Cota altissima (L.) J.Gay,Cota altissima
1226,Gnaphalium fasciculatum Buchanan,Raoulia grandiflora var. fasciculata (Buchanan) Cheeseman,Raoulia grandiflora var. fasciculata (Buchanan) Cheeseman,Raoulia grandiflora var. fasciculata (Buchanan) Cheeseman,Raoulia grandiflora,Psychrophyton grandiflorum Beauverd,Psychrophyton grandiflorum
1227,Centaurea olivieri Pomel,Centaurea resupinata subsp. lagascae (Nyman) Fern.Casas & Susanna,Centaurea resupinata subsp. lagascae (Nyman) Fern.Casas & Susanna,Centaurea resupinata subsp. lagascae (Nyman) Fern.Casas & Susanna,Centaurea resupinata,Centaurea vesceritensis Boiss.,Centaurea vesceritensis
1254,Bidens trifoliata Norona,Bidens pilosa L.,Bidens pilosa L.,Bidens pilosa L.,Bidens pilosa,Bidens tripartita subsp. tripartita ,Bidens tripartita
1267,Artemisia arenaria DC.,Artemisia campestris subsp. inodora Nyman,Artemisia campestris subsp. inodora Nyman,Artemisia campestris subsp. inodora Nyman,Artemisia campestris,Artemisia arenaria DC.,Artemisia arenaria
1270,Olearia sarawaketensis Mattf.,Olearia lepidota var. sarawaketensis (Mattf.) J.Kost.,Olearia lepidota var. sarawaketensis (Mattf.) J.Kost.,Olearia lepidota var. sarawaketensis (Mattf.) J.Kost.,Olearia lepidota,Olearia sarawaketensis Mattf.,Olearia sarawaketensis
1308,Critonia eggersii (Hieron.) R.M.King & H.Rob.,Critonia billbergiana (Beurl.) R.M.King & H.Rob.,Critonia billbergiana (Beurl.) R.M.King & H.Rob.,Critonia billbergiana (Beurl.) R.M.King & H.Rob.,Critonia billbergiana,Critonia eggersii (Hieron.) R.M.King & H.Rob.,Critonia eggersii
1315,Sphenogyne chrysanthemoides Less.,Ursinia speciosa DC.,Ursinia speciosa DC.,Ursinia speciosa DC.,Ursinia speciosa,Ursinia chrysanthemoides (Less.) Harv.,Ursinia chrysanthemoides
1320,Centaurea integrans Naggi,Centaurea aplolepa subsp. lunensis (Fiori) Dostál,Centaurea aplolepa subsp. lunensis (Fiori) Dostál,Centaurea aplolepa subsp. lunensis (Fiori) Dostál,Centaurea aplolepa,Centaurea integrans Naggi,Centaurea integrans
1353,Sphaeranthus talbotii S.Moore,Sphaeranthus steetzii Oliv. & Hiern,Sphaeranthus steetzii Oliv. & Hiern,Sphaeranthus steetzii Oliv. & Hiern,Sphaeranthus steetzii,Sphaeranthus talbotii S.Moore,Sphaeranthus talbotii
1359,Saussurea karategina Lipsky,Ptilostemon karateginii (Lipsky) Iljin,Ptilostemon karateginii (Lipsky) Iljin,Ptilostemon karateginii (Lipsky) Iljin,Ptilostemon karateginii,Jurinea karategina (Lipsky) O.Fedtsch.,Jurinea karategina
1373,Senecio microdontus Baker,Senecio andinus H.Buek,Senecio andinus H.Buek,Senecio andinus H.Buek,Senecio andinus,Senecio adscendens Bojer ex DC.,Senecio adscendens
1382,Rhysolepis santacatarinensis H.Rob. & A.J.Moore,Viguiera santacatarinense (H.Rob. & A.J.Moore) A.A.Sáenz,Viguiera santacatarinense (H.Rob. & A.J.Moore) A.A.Sáenz,Viguiera santacatarinense (H.Rob. & A.J.Moore) A.A.Sáenz,Viguiera santacatarinense,Aldama santacatarinensis (H.Rob. & A.J.Moore) E.E.Schill. & Panero,Aldama santacatarinensis
1412,Saussurea taipaiensis Ling,Saussurea globosa F.H.Chen,Saussurea globosa F.H.Chen,Saussurea globosa F.H.Chen,Saussurea globosa,Saussurea taipaiensis Ling,Saussurea taipaiensis
1441,Coreopsis incurva Moench,Bidens ferulifolia (Jacq.) Sweet,Bidens ferulifolia (Jacq.) Sweet,Bidens ferulifolia (Jacq.) Sweet,Bidens ferulifolia,Bidens aurea Sherff,Bidens aurea
1446,Aster graminifolius Pursh,Nidorella foetida (L.) DC.,Nidorella foetida (L.) DC.,Nidorella foetida (L.) DC.,Nidorella foetida,Erigeron hyssopifolius Michx.,Erigeron hyssopifolius
1448,Artemisia subulosa Willd. ex DC.,Artemisia campestris subsp. inodora Nyman,Artemisia campestris subsp. inodora Nyman,Artemisia campestris subsp. inodora Nyman,Artemisia campestris,Artemisia arenaria H.C.Fu,Artemisia arenaria
1463,Krigia pinnatifida Bertero ex DC.,Microseris lanceolata (Walp.) Sch.Bip.,Microseris lanceolata (Walp.) Sch.Bip.,Microseris lanceolata (Walp.) Sch.Bip.,Microseris lanceolata,Microseris pygmaea Raoul,Microseris pygmaea
1474,Artemisia longiflora Pamp.,Artemisia vulgaris L.,Artemisia vulgaris L.,Artemisia vulgaris L.,Artemisia vulgaris,Artemisia indica Willd.,Artemisia indica
1493,Crepis parviflora Pers.,Crepis micrantha Czerep.,Crepis micrantha Czerep.,Crepis micrantha Czerep.,Crepis micrantha,Crepis capillaris (L.) Wallr.,Crepis capillaris
1517,Cephalorrhynchus polycladus (Boiss.) Kirp.,Lactuca polyclada Boiss.,Lactuca polyclada Boiss.,Lactuca polyclada Boiss.,Lactuca polyclada,"Melanoseris polyclada (Boiss.) Akhani, N.Kilian & Sennikov",Melanoseris polyclada
1533,Bidens cannabina Lam.,Bidens pilosa L.,Bidens pilosa L.,Bidens pilosa L.,Bidens pilosa,Bidens tripartita subsp. tripartita ,Bidens tripartita
1555,Eupatorium cuspidatum Willd. ex Less.,Vernonieae discolor (Kunth) Aristeg.,Vernonieae discolor (Kunth) Aristeg.,Vernonieae discolor (Kunth) Aristeg.,Vernonieae discolor,Piptocoma discolor (Kunth) Pruski,Piptocoma discolor
1564,Andryala gracilis Caball.,Andryala cossyrensis Guss.,Andryala cossyrensis Guss.,Andryala cossyrensis Guss.,Andryala cossyrensis,Andryala integrifolia L.,Andryala integrifolia
1569,Bidens inermis S.Watson,Bidens pilosa L.,Bidens pilosa L.,Bidens pilosa L.,Bidens pilosa,Bidens alba DC.,Bidens alba
1640,Lactuca virgata Tausch,Lactuca saligna L.,Lactuca saligna L.,Lactuca saligna L.,Lactuca saligna,Launaea intybacea (Jacq.) Beauverd,Launaea intybacea
1643,Athanasia glabra Thunb.,Athanasia trifurcata (L.) L.,Athanasia trifurcata (L.) L.,Athanasia trifurcata (L.) L.,Athanasia trifurcata,Athanasia capitata (L.) L.,Athanasia capitata
1689,Lucilia affinis Wedd.,Belloa kunthiana (DC.) Anderb. & S.E.Freire,Belloa kunthiana (DC.) Anderb. & S.E.Freire,Belloa kunthiana (DC.) Anderb. & S.E.Freire,Belloa kunthiana,Lucilia kunthiana (DC.) Zardini,Lucilia kunthiana
1740,Erechtites atkinsoniae F.Muell.,Senecio bipinnatisectus Belcher,Senecio bipinnatisectus Belcher,Senecio bipinnatisectus Belcher,Senecio bipinnatisectus,Erechtites atkinsoniae F.Muell.,Erechtites atkinsoniae
1789,Gnaphalium heteroides Klatt,Gamochaeta stagnalis (I.M.Johnst.) Anderb.,Gamochaeta stagnalis (I.M.Johnst.) Anderb.,Gamochaeta stagnalis (I.M.Johnst.) Anderb.,Gamochaeta stagnalis,Gnaphalium palustre Nutt.,Gnaphalium palustre
1797,Stobaea carlinoides Thunb.,Berkheya onobromoides var. carlinoides (Thunb.) Roessler,Berkheya onobromoides var. carlinoides (Thunb.) Roessler,Berkheya onobromoides var. carlinoides (Thunb.) Roessler,Berkheya onobromoides,Berkheya carlinoides Willd.,Berkheya carlinoides
1803,Viguiera weddellii Sch.Bip. ex S.F.Blake,Viguiera squalida S.Moore,Viguiera squalida S.Moore,Aldama squalida (S.Moore) E.E.Schill. & Panero,Aldama squalida,Aldama weddellii (Sch.Bip. ex S.F.Blake) E.E.Schill. & Panero,Aldama weddellii
1851,Mikania tamoides DC.,Mikania batataefolia DC.,Mikania batataefolia DC.,Mikania scandens (L.) Willd.,Mikania scandens,Mikania micrantha Kunth,Mikania micrantha
1887,Lactuca prolixa S.Moore,Ixeridium laevigatum (Blume) Pak & Kawano,Ixeridium laevigatum (Blume) Pak & Kawano,Ixeridium laevigatum (Blume) Pak & Kawano,Ixeridium laevigatum,Ixeris prolixa (S.Moore) Stebbins,Ixeris prolixa
1910,Koanophyllon reyrobinsonii B.L.Turner,Koanophyllon longifolia (B.L.Rob.) R.M.King & H.Rob.,Koanophyllon longifolia (B.L.Rob.) R.M.King & H.Rob.,Koanophyllon longifolia (B.L.Rob.) R.M.King & H.Rob.,Koanophyllon longifolia,Koanophyllon reyrobinsonii B.L.Turner,Koanophyllon reyrobinsonii
1948,Apargia livida Moench,Leontodon hispidus subsp. hastilis (L.) Corb.,Leontodon hispidus subsp. hastilis (L.) Corb.,Leontodon hispidus subsp. hastilis (L.) Corb.,Leontodon hispidus,Leontodon hyoseroides subsp. hyoseroides Rchb.,Leontodon hyoseroides
1965,Erigeron pycnotrichus Schott & Kotschy ex Tchich.,Erigeron pulchellus Michx.,Erigeron pulchellus Michx.,Erigeron pulchellus Michx.,Erigeron pulchellus,Erigeron uniflorus subsp. uniflorus ,Erigeron uniflorus
1994,Aster humilis Banks & Sol. ex Hook.f.,Vittadinia australis A.Rich.,Vittadinia australis A.Rich.,Vittadinia australis A.Rich.,Vittadinia australis,Vittadinia gracilis (Hook.f.) N.T.Burb.,Vittadinia gracilis
2006,Espeletia rufescens Cuatrec.,Espeletia semiglobulata Cuatrec.,Espeletia semiglobulata Cuatrec.,Espeletia semiglobulata Cuatrec.,Espeletia semiglobulata,Espeletia rufescens Cuatrec.,Espeletia rufescens
2026,Conyza serrulata Lam.,Baccharis pingraea DC.,Baccharis pingraea DC.,Baccharis pingraea DC.,Baccharis pingraea,Baccharis serrulata Pers.,Baccharis serrulata
2053,Gnaphalium cernuum Thunb.,Helichrysum cymosum (L.) D.Don,Helichrysum cymosum (L.) D.Don,Helichrysum cymosum (L.) D.Don,Helichrysum cymosum,Helichrysum niveum Less.,Helichrysum niveum
2061,Absinthium rupestre (L.) Schrank,Artemisia alba Turra,Artemisia alba Turra,Artemisia alba Turra,Artemisia alba,Artemisia rupestris subsp. rupestris L.,Artemisia rupestris
2099,Eupatorium tenuicapitulatum Hieron.,Chromolaena leptocephala (DC.) R.M.King & H.Rob.,Chromolaena leptocephala (DC.) R.M.King & H.Rob.,Chromolaena leptocephala (DC.) R.M.King & H.Rob.,Chromolaena leptocephala,Chromolaena tenuicapitulata (Hieron.) R.M.King & H.Rob.,Chromolaena tenuicapitulata
2121,Conyza montevidensis Spreng.,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina,Baccharis pingraea DC.,Baccharis pingraea
2143,Crepis umbellata Bernh.,Hieracium umbellata L.,Hieracium umbellata L.,Hieracium umbellata L.,Hieracium umbellata,Hieracium umbellatum subsp. umbellatum L.,Hieracium umbellatum
2161,Senecio hypoleucus Muschl.,Dendrosenecio adnivalis subsp. friesiorum (Mildbr.) E.B.Knox,Dendrosenecio adnivalis subsp. friesiorum (Mildbr.) E.B.Knox,Dendrosenecio adnivalis subsp. friesiorum (Mildbr.) E.B.Knox,Dendrosenecio adnivalis,Senecio hypoleucus Muschl.,Senecio hypoleucus
2172,Aster celmisia F.Muell.,Celmisia asteliifolia Hook.f.,Celmisia asteliifolia Hook.f.,Celmisia asteliifolia Hook.f.,Celmisia asteliifolia,Celmisia longifolia Cass.,Celmisia longifolia
2208,Senecio calcicola Meyen & Walp.,Senecio calcensis Cabrera & Zardini,Senecio calcensis Cabrera & Zardini,Senecio calcensis Cabrera & Zardini,Senecio calcensis,Senecio calcicola Meyen & Walp.,Senecio calcicola
2220,Leontodon hirsutus Hook.,Agoseris apargioides (Less.) Greene,Agoseris apargioides (Less.) Greene,Agoseris apargioides (Less.) Greene,Agoseris apargioides,Agoseris hirsuta Greene,Agoseris hirsuta
2222,Cirsium elbrusense Sommier & Levier,Cirsium pubigerum var. elbrusense (Sommier & Levier) Petr.,Cirsium pubigerum var. elbrusense (Sommier & Levier) Petr.,Cirsium pubigerum var. elbrusense (Sommier & Levier) Petr.,Cirsium pubigerum,Cirsium elbrusense Sommier & Levier,Cirsium elbrusense
2234,Amberboa carthamoides DC.,Centaurea albonitens Turrill,Centaurea albonitens Turrill,Centaurea albonitens Turrill,Centaurea albonitens,Leuzea carthamoides subsp. carthamoides ,Leuzea carthamoides
2248,Aster plantaginifolius Nutt. ex Nees,Sericocarpus conyzoides Nees,Sericocarpus conyzoides Nees,Sericocarpus conyzoides Nees,Sericocarpus conyzoides,Sericocarpus asteroides (L.) Nees,Sericocarpus asteroides
2286,Hieracium semiglabratum Comm. ex Fr.,Hieracium commersonii Monnier,Hieracium commersonii Monnier,Hieracium commersonii Monnier,Hieracium commersonii,Pilosella semiglabrata Sch.Bip. & F.W.Schultz,Pilosella semiglabrata
2294,Baccharis medullosa DC.,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina,Baccharis salicifolia subsp. salicifolia ,Baccharis salicifolia
2312,Dichrocephala paniculata Miq.,Myriactis wightii DC.,Myriactis wightii DC.,Myriactis wightii DC.,Myriactis wightii,Dichrocephala integrifolia subsp. integrifolia (L.f.) Kuntze,Dichrocephala integrifolia
2370,Echinops raddeanus Sommier & Levier,Echinops pungens Trautv.,Echinops pungens Trautv.,Echinops pungens Trautv.,Echinops pungens,Echinops raddeanus Sommier & Levier,Echinops raddeanus
2409,Crepis kochii Tchich.,Crepis multicaulis Ledeb.,Crepis multicaulis Ledeb.,Crepis multicaulis Ledeb.,Crepis multicaulis,Crepis sancta subsp. sancta (L.) Bornm.,Crepis sancta
2428,Zollikoferiastrum polycladum (Boiss.) Kamelin,Lactuca polyclada Boiss.,Lactuca polyclada Boiss.,Lactuca polyclada Boiss.,Lactuca polyclada,"Melanoseris polyclada (Boiss.) Akhani, N.Kilian & Sennikov",Melanoseris polyclada
